Index,Repositories,Commits,Files,LOC,TF,Devs
0,tensorflow/tensorflow,94861,13558,2681198,3,3447
1,electron/electron,24000,1110,122183,3,1197
2,microsoft/terminal,1602,1062,187515,2,265
3,apple/swift,111440,17171,1291045,8,1082
4,opencv/opencv,29203,2495,689807,4,1749
5,bitcoin/bitcoin,25671,1329,207312,7,1026
6,protocolbuffers/protobuf,7644,1693,553622,7,798
7,pytorch/pytorch,29570,6548,1129496,28,2370
8,x64dbg/x64dbg,4465,542,123295,1,116
9,tesseract-ocr/tesseract,4626,644,165054,3,187
10,BVLC/caffe,4156,467,74240,5,342
11,godotengine/godot,30248,2433,626101,2,1451
12,ariya/phantomjs,1958,204,16982,2,196
13,grpc/grpc,46635,4096,468849,8,807
14,rethinkdb/rethinkdb,33430,1690,365060,4,284
15,cmderdev/cmder,1200,6,876,4,149
16,google/leveldb,336,134,21273,2,57
17,microsoft/calculator,596,360,50170,1,78
18,ocornut/imgui,5922,16,30059,1,251
19,aria2/aria2,5271,1183,121466,1,63
20,emscripten-core/emscripten,21449,4120,616933,4,645
21,dmlc/xgboost,4963,627,81490,4,528
22,nlohmann/json,3876,124,58180,1,219
23,mongodb/mongo,53747,8939,1137647,27,857
24,microsoft/CNTK,16116,1333,264663,10,391
25,osquery/osquery,5616,1555,164594,4,399
26,CMU-Perceptual-Computing-Lab/openpose,626,395,46562,1,83
27,facebook/rocksdb,9363,1334,356978,7,806
28,ApolloAuto/apollo,17062,4584,408404,12,480
29,microsoft/PowerToys,3865,959,81552,6,248
30,swoole/swoole-src,11807,1322,89823,2,219
31,uglide/RedisDesktopManager,1777,220,14856,1,85
32,v8/v8,64248,10393,2081251,21,932
33,google/googletest,3423,219,57870,3,366
34,facebook/folly,8820,1720,300996,12,918
35,commaai/openpilot,1603,1846,238726,1,101
36,cocos2d/cocos2d-x,37350,2435,589811,6,999
37,Tencent/mars,1249,3833,569505,1,65
38,google/flatbuffers,2007,528,110501,7,486
39,apache/incubator-weex,11996,2927,357715,2,378
40,haoel/leetcode,598,560,21400,1,48
41,facebook/yoga,1990,495,89853,5,240
42,sqlitebrowser/sqlitebrowser,3422,327,124209,1,157
43,envoyproxy/envoy,7264,3877,435043,8,691
44,google/guetzli,145,57,5870,1,24
45,telegramdesktop/tdesktop,7965,1081,308595,1,146
46,uNetworking/uWebSockets,575,49,6007,1,12
47,vnpy/vnpy,5105,1716,489897,2,128
48,microsoft/react-native-windows,4051,1496,182383,4,197
49,catchorg/Catch2,3223,306,36558,2,271
50,EOSIO/eos,15489,684,330691,6,323
51,PaddlePaddle/Paddle,28257,4150,590985,27,645
52,microsoft/LightGBM,2025,183,45885,2,188
53,notepad-plus-plus/notepad-plus-plus,3591,661,232121,1,472
54,google/libphonenumber,1783,284,108752,2,135
55,ValveSoftware/Proton,819,2948,628175,1,54
56,xbmc/xbmc,55815,5065,739281,8,1176
57,taichi-dev/taichi,6647,522,61790,1,71
58,pqrs-org/Karabiner-Elements,4369,516,29945,1,35
59,arendst/Tasmota,8301,2811,830313,3,266
60,ClickHouse/ClickHouse,47584,5519,627534,5,848
61,apple/foundationdb,12352,1016,344491,3,199
62,apache/incubator-brpc,2116,1038,174255,1,117
63,microsoft/AirSim,2181,619,110692,2,203
64,yuzu-emu/yuzu,15931,1201,262251,4,317
65,SFTtech/openage,3638,1039,85628,3,178
66,apple/turicreate,1545,2162,372071,2,96
67,CRYTEK/CRYENGINE,9274,15545,3084944,4,2732
68,arangodb/arangodb,46795,3776,1070476,5,186
69,openalpr/openalpr,1387,283,54028,1,79
70,yangyangwithgnu/hardseed,197,37,3735,1,8
71,lemire/simdjson,1747,230,36860,2,71
72,facebookresearch/faiss,350,450,56350,2,70
73,mobile-shell/mosh,1377,135,15124,1,69
74,Tencent/rapidjson,2283,104,25827,1,197
75,microsoft/napajs,271,273,14139,2,37
76,facebook/watchman,4449,495,59108,1,216
77,davisking/dlib,7855,1302,301435,1,176
78,google/filament,3165,1097,270635,2,89
79,trojan-gfw/trojan,460,40,3116,1,21
80,qbittorrent/qBittorrent,10463,484,73578,3,252
81,ShiqiYu/libfacedetection,143,27,4201,2,21
82,Tencent/ncnn,1632,956,266099,2,139
83,ssloy/tinyrenderer,102,11,814,1,10
84,aseprite/aseprite,7328,1295,149910,1,62
85,TarsCloud/Tars,791,16,1111,1,105
86,gabime/spdlog,3421,139,30214,1,244
87,Studio3T/robomongo,2449,479,116272,2,47
88,diasurgical/devilution,2621,200,96512,2,51
89,OpenRCT2/OpenRCT2,19883,998,512360,2,499
90,ethereum/solidity,17763,4577,174338,4,491
91,zealdocs/zeal,1707,112,12345,1,67
92,acaudwell/Gource,876,86,13643,1,48
93,shadowsocks/shadowsocks-qt5,688,37,2388,1,17
94,openframeworks/openFrameworks,16474,747,128933,2,537
95,CoatiSoftware/Sourcetrail,2683,1742,154117,2,39
96,ossrs/srs,5071,318,101543,1,64
97,RPCS3/rpcs3,10869,863,286233,3,314
98,ceph/ceph,115041,5836,1328281,10,1364
99,bkaradzic/bgfx,7408,153,93206,1,230
